15,15,15,15,17,16,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,15,15,16,15
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
15,0,0,18,15,15,15,15,15,16,0,0,0,15,15,0,0,0,15,15,15,15,15,0,0,15
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
15,15,15,15,15,18,18,0,0,0,0,0,15,15,15,15,0,0,0,0,0,18,15,15,17,15
15,15,16,15,15,16,15,15,15,15,17,15,15,15,15,15,15,15,15,16,15,15,15,15,18,15
