0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
9,0,0,0,0,0,0,0,0,6,6,0,0,0,16,17,0,0,0,0,0,0,0,0,0,15
7,0,0,0,0,0,0,3,5,9,8,0,0,0,16,18,0,0,0,0,0,0,0,0,0,15
8,0,0,0,0,2,6,10,10,11,10,0,0,0,18,16,0,0,0,0,0,0,0,0,0,15
7,5,6,5,2,8,8,9,11,8,9,0,0,0,15,16,18,15,15,17,17,15,15,15,15,15
8,9,8,7,10,11,8,9,7,7,7,9,9,9,17,15,15,16,15,18,15,15,18,15,15,15
